Kilometres,Zone,Bonus,Make,Insured,Claims,Payment,PP
1,3,6,9,10263.04,393,2026554,197.461376
1,3,7,1,7155.96,197,980780,137.0577812
1,3,7,2,999.32,32,168854,168.9688989
1,3,7,3,1049.99,19,41459,39.48513795
1,3,7,4,3712.23,67,229231,61.75021483
1,3,7,5,1862.44,74,388511,208.6032302
1,3,7,6,4964,121,622350,125.3726833
1,3,7,7,1785.23,58,253660,142.0881343
1,3,7,8,331.45,8,94395,284.7940866
1,3,7,9,65617.47,1865,9884008,150.630739
1,4,1,1,868.6,115,627513,722.4418605
1,4,1,2,122.54,10,113492,926.1628856
1,4,1,3,55.08,3,33925,615.9222948
1,4,1,4,2751.7,98,578698,210.3056292
1,4,1,5,328.36,36,149698,455.8959678
1,4,1,6,1730.51,105,604161,349.1230909
1,4,1,7,231.91,13,55103,237.6051054
1,4,1,8,48.77,4,34267,702.6245643
1,4,1,9,20153.28,1446,6605073,327.7418366
1,4,2,1,622.23,41,300510,482.956463
1,4,2,2,94.03,5,11936,126.9382112
1,4,2,3,36.73,2,6387,173.8905527
1,4,2,4,2037.95,48,152944,75.04796487
1,4,2,5,189.27,17,40047,211.5866223
1,4,2,6,1217.01,65,344450,283.0297204
1,4,2,7,155.5,16,113524,730.0578778
1,4,2,8,27.27,0,0,0
1,4,2,9,14648.2,645,3150912,215.1057468
1,4,3,1,613.17,32,168882,275.4244337
1,4,3,2,108.4,5,43676,402.9151292
1,4,3,3,37.2,0,0,0
1,4,3,4,1447.58,25,66208,45.73702317
1,4,3,5,168.81,8,30465,180.4691665
1,4,3,6,933.44,40,374818,401.5448234
1,4,3,7,153.11,5,38157,249.2129841
1,4,3,8,32.44,2,8234,253.8224414
1,4,3,9,11314.54,427,2035982,179.9438598
1,4,4,1,573.86,29,214513,373.8072004
1,4,4,2,103.82,4,12077,116.326334
1,4,4,3,49.14,2,12947,263.4717135
1,4,4,4,970.81,20,77705,80.04140872
1,4,4,5,135.49,6,16781,123.854159
1,4,4,6,740.62,25,87155,117.6784316
1,4,4,7,123.63,3,11469,92.76874545
1,4,4,8,36.98,1,2572,69.55110871
1,4,4,9,8785.71,291,1189357,135.3740335
1,4,5,1,783.1,28,97770,124.8499553
1,4,5,2,127.17,7,21026,165.3377369
1,4,5,3,86.26,4,15583,180.6515187
1,4,5,4,886.11,16,71474,80.66041462
1,4,5,5,200.68,14,74804,372.752641
1,4,5,6,825.58,16,76879,93.12119964
1,4,5,7,185.36,3,6085,32.82801036
1,4,5,8,53.05,1,6827,128.6899152
1,4,5,9,9849.89,324,1672294,169.7779366
1,4,6,1,1839.13,72,505590,274.9071572
1,4,6,2,298.73,5,16182,54.16931677
1,4,6,3,234.01,8,42369,181.0563651
1,4,6,4,1047.27,22,147524,140.8652974
1,4,6,5,481.63,16,70430,146.2325852
1,4,6,6,1317.07,34,162323,123.2455374
1,4,6,7,360.55,9,127814,354.4972958
1,4,6,8,90.61,7,80134,884.3836221
1,4,6,9,17332.9,535,2833885,163.4974528
1,4,7,1,15297.44,389,2505764,163.8028324
1,4,7,2,2085.44,65,296375,142.116292
1,4,7,3,2140.94,38,253490,118.401263
1,4,7,4,6923.74,100,435674,62.9246621
1,4,7,5,3721.62,115,641018,172.2416582
1,4,7,6,10409.88,194,1070372,102.822703
1,4,7,7,3252.99,86,317119,97.48539036
1,4,7,8,768.54,23,160411,208.7217321
1,4,7,9,127687.27,2894,15540162,121.7048653
1,5,1,1,161.19,22,112479,697.803834
1,5,1,2,15.53,2,1668,107.4050225
1,5,1,3,6.07,0,0,0
1,5,1,4,454.21,15,61507,135.4153365
1,5,1,5,69.38,13,83497,1203.473624
1,5,1,6,301.14,21,87734,291.3395763
1,5,1,7,47.82,6,51950,1086.365537
1,5,1,8,10.84,0,0,0
1,5,1,9,3645.26,407,1855941,509.1381685
1,5,2,1,132.69,7,27325,205.9311176
1,5,2,2,17.31,1,1554,89.77469671
1,5,2,3,4.2,0,0,0
1,5,2,4,324.26,10,22854,70.48047863
1,5,2,5,51.8,4,40692,785.5598456
1,5,2,6,218.84,12,88266,403.3357704
1,5,2,7,39.68,3,38808,978.0241935
1,5,2,8,12.15,1,1029,84.69135802
1,5,2,9,2694.25,174,616744,228.9111998
1,5,3,1,122.86,8,51943,422.7820283
1,5,3,2,21.15,0,0,0
1,5,3,3,5.15,0,0,0
1,5,3,4,240.23,6,13492,56.16284394
1,5,3,5,38.15,6,16170,423.853211
1,5,3,6,173.78,4,17523,100.8343883
1,5,3,7,30.43,2,6421,211.0088728
1,5,3,8,4.82,1,31442,6523.236515
1,5,3,9,1993.33,117,481752,241.6820095
1,5,4,1,116.24,3,7229,62.19029594
1,5,4,2,16.48,1,1000,60.67961165
1,5,4,3,9.31,1,9867,1059.828142
1,5,4,4,160.66,8,22404,139.4497697
1,5,4,5,27.77,4,8119,292.3658624
1,5,4,6,145.54,8,33299,228.7962072
1,5,4,7,30.23,0,0,0
1,5,4,8,7.77,1,2700,347.4903475
1,5,4,9,1592.59,74,364037,228.5817442
1,5,5,1,185.95,11,53110,285.6144125
1,5,5,2,23.75,2,4900,206.3157895
1,5,5,3,15.57,0,0,0
1,5,5,4,140.66,2,4876,34.66515001
1,5,5,5,41.71,1,7056,169.1680652
1,5,5,6,141.81,2,3200,22.56540441
1,5,5,7,44.08,3,64516,1463.611615
1,5,5,8,9.68,0,0,0
1,5,5,9,1752.09,86,299385,170.8730716
1,5,6,1,394.91,9,25994,65.82259249
1,5,6,2,55.35,3,7232,130.6594399
1,5,6,3,40.03,1,1373,34.29927554
1,5,6,4,177.67,4,6211,34.95806833
1,5,6,5,92.95,7,21706,233.5233997
1,5,6,6,244.32,8,41753,170.8947282
1,5,6,7,92.99,5,6674,71.77115819
1,5,6,8,22.62,2,1522,67.28558798
1,5,6,9,3251.89,165,774028,238.0240414
1,5,7,1,2257.49,80,452280,200.3464024
1,5,7,2,284.44,7,45614,160.3642244
1,5,7,3,300.78,9,55124,183.2701642
1,5,7,4,946.25,19,68243,72.11941876
1,5,7,5,583.99,18,113925,195.0803952
1,5,7,6,1332.39,38,138432,103.8975075
1,5,7,7,541.88,13,93691,172.899904
1,5,7,8,125.14,5,46879,374.6124341
1,5,7,9,17722.19,589,2700050,152.3541955
1,6,1,1,340.1,31,75947,223.3078506
1,6,1,2,38.25,3,5658,147.9215686
1,6,1,3,16.23,0,0,0
1,6,1,4,767.66,30,187167,243.8149702
1,6,1,5,134.82,31,164961,1223.564753
1,6,1,6,585.23,44,309679,529.157767
1,6,1,7,80.16,7,8237,102.756986
1,6,1,8,29.87,4,35088,1174.690325
1,6,1,9,6744.61,542,2708623,401.5981651
1,6,2,1,233.67,20,159609,683.0530235
1,6,2,2,33.6,2,5403,160.8035714
1,6,2,3,14.01,0,0,0
1,6,2,4,563.21,7,12459,22.1214112
1,6,2,5,84.85,10,55348,652.304066
1,6,2,6,436.38,14,72563,166.2839727
1,6,2,7,63.25,3,63976,1011.478261
1,6,2,8,13.61,0,0,0
1,6,2,9,4721.76,227,970016,205.4352614
1,6,3,1,230.77,10,97153,420.99493
1,6,3,2,37.88,1,789,20.82893347
1,6,3,3,14.41,0,0,0
1,6,3,4,386.7,10,57758,149.361262
1,6,3,5,76.88,5,14166,184.2611863
1,6,3,6,294.37,15,106215,360.8214152
1,6,3,7,57.46,3,41564,723.3553777
1,6,3,8,12.76,0,0,0
1,6,3,9,3558.48,131,785697,220.7956768
1,6,4,1,186.52,12,81889,439.0360283
1,6,4,2,31.99,3,2985,93.3104095
1,6,4,3,15.77,0,0,0
1,6,4,4,283.49,6,73962,260.8980916
1,6,4,5,57.53,5,20515,356.5965583
1,6,4,6,219.19,5,14794,67.49395502
1,6,4,7,45.35,4,38560,850.275634
1,6,4,8,24.46,2,3138,128.2910875
1,6,4,9,2708.07,99,517218,190.9913702
1,6,5,1,253.84,20,105565,415.872203
1,6,5,2,47.01,2,5207,110.7636673
1,6,5,3,28.29,0,0,0
1,6,5,4,259.21,1,31442,121.2993326
1,6,5,5,72.82,1,1742,23.92199945
1,6,5,6,252.17,8,74154,294.0635286
1,6,5,7,64.53,3,8546,132.4345266
1,6,5,8,22.19,1,2198,99.05362776
1,6,5,9,2936.87,87,641508,218.4325489
1,6,6,1,560.62,17,107765,192.2246798
1,6,6,2,88.23,0,0,0
1,6,6,3,55.88,3,4731,84.66356478
1,6,6,4,274.15,3,10929,39.86503739
1,6,6,5,186,9,16980,91.29032258
1,6,6,6,424.38,12,62560,147.4150525
1,6,6,7,141.38,4,39806,281.5532607
1,6,6,8,60.89,3,4512,74.10083758
1,6,6,9,5248.1,187,1066083,203.1369448
1,6,7,1,4492.77,136,727249,161.8709616
1,6,7,2,606.55,16,114290,188.4263457
1,6,7,3,561.04,21,128950,229.8410096
1,6,7,4,1799.95,29,191942,106.6374066
1,6,7,5,1203.92,48,118462,98.39690345
1,6,7,6,2874.45,70,422565,147.0072536
1,6,7,7,914.58,27,208821,228.3244768
1,6,7,8,347.4,15,131927,379.7553253
1,6,7,9,34969.21,886,5181284,148.1670304
1,7,1,1,23.96,4,9848,411.0183639
1,7,1,2,4.05,0,0,0
1,7,1,4,92.39,5,4642,50.24353285
1,7,1,5,7.36,0,0,0
1,7,1,6,29.72,0,0,0
1,7,1,7,4.29,1,1504,350.5827506
1,7,1,8,1.04,0,0,0
1,7,1,9,560.17,38,108198,193.1520788
1,7,2,1,20.83,1,2772,133.0772924
1,7,2,2,3.41,0,0,0
1,7,2,3,0.23,0,0,0
1,7,2,4,48.63,1,1980,40.71560765
1,7,2,5,2.1,0,0,0
1,7,2,6,20.84,5,12647,606.8618042
1,7,2,7,2.22,0,0,0
1,7,2,8,0.47,0,0,0
1,7,2,9,413.54,19,45789,110.7244765
1,7,3,1,17.42,0,0,0
1,7,3,2,2.38,0,0,0
1,7,3,3,0.5,0,0,0
1,7,3,4,46.18,1,756,16.37072326
1,7,3,5,3.31,0,0,0
1,7,3,6,13.92,1,2199,157.9741379
1,7,3,7,3.7,0,0,0
1,7,3,8,0.3,0,0,0
1,7,3,9,285.04,7,15229,53.42758911
1,7,4,1,13.24,0,0,0
1,7,4,2,2.31,1,5000,2164.502165
1,7,4,3,0.8,0,0,0
1,7,4,4,27.66,0,0,0
1,7,4,5,4.74,0,0,0
1,7,4,6,11.37,0,0,0
1,7,4,7,2.64,0,0,0
1,7,4,9,225.35,5,9681,42.95984025
1,7,5,1,19.87,0,0,0
1,7,5,2,5.74,1,3900,679.4425087
1,7,5,3,1.69,0,0,0
1,7,5,4,29.05,1,2913,100.2753873
1,7,5,5,3.59,0,0,0
1,7,5,6,14.42,1,3174,220.110957
1,7,5,7,2.42,0,0,0
1,7,5,8,0.9,0,0,0
1,7,5,9,278.75,13,31522,113.0834081
1,7,6,1,41.17,1,3325,80.76269128
1,7,6,2,7.55,2,7963,1054.701987
1,7,6,3,1.56,0,0,0
1,7,6,4,36.23,1,1327,36.62710461
1,7,6,5,9.82,0,0,0
1,7,6,6,21.9,0,0,0
1,7,6,7,6.58,0,0,0
1,7,6,8,0.1,0,0,0
1,7,6,9,456.61,15,103527,226.7295942
1,7,7,1,294.57,3,8171,27.73873782
1,7,7,2,50.12,1,1510,30.12769354
1,7,7,3,26.06,0,0,0
1,7,7,4,216.41,4,65435,302.3658796
1,7,7,5,60.68,0,0,0
1,7,7,6,208.35,5,74182,356.0451164
1,7,7,7,46.47,0,0,0
1,7,7,8,9.5,0,0,0
1,7,7,9,3315.16,77,340189,102.6161633
2,1,1,1,638.51,148,578831,906.5339619
2,1,1,2,94.77,29,137355,1449.35106
2,1,1,3,126.87,29,137680,1085.205328
2,1,1,4,398.58,55,162678,408.1439109
2,1,1,5,167.88,41,73435,437.4255421
2,1,1,6,354.26,48,166416,469.7566759
2,1,1,7,95.57,11,21295,222.8209689
2,1,1,8,25.93,5,2059,79.40609333
2,1,1,9,6792.88,1410,6556534,965.2068048
2,1,2,1,605.01,86,484085,800.1272706
2,1,2,2,96.42,12,93305,967.6934246
2,1,2,3,94.57,12,62554,661.4571217
2,1,2,4,319.2,20,43734,137.0112782
2,1,2,5,152.42,24,109785,720.2794909
2,1,2,6,349.2,27,92572,265.0973654
2,1,2,7,94.39,8,76099,806.2188791
2,1,2,8,16.52,3,39939,2417.615012
2,1,2,9,5941.02,722,3249461,546.9533851
2,1,3,1,599.51,78,450864,752.0541776
2,1,3,2,121.49,17,142141,1169.981068
2,1,3,3,91.96,13,93038,1011.722488
2,1,3,4,234.48,13,65170,277.9341522
2,1,3,5,134.82,19,111059,823.7576027
2,1,3,6,318.69,21,162284,509.2221281
2,1,3,7,88.04,11,30153,342.4920491
2,1,3,8,22.47,5,47551,2116.199377
2,1,3,9,5162.92,484,2522341,488.5493093
2,1,4,1,597.21,55,213704,357.8372767
2,1,4,2,129.44,7,47589,367.6529666
2,1,4,3,94.8,9,47251,498.42827
2,1,4,4,182.93,12,59369,324.5449079
2,1,4,5,111.64,11,20942,187.5850949
2,1,4,6,263.94,9,44772,169.6294612
2,1,4,7,107.37,9,61695,574.6018441
2,1,4,8,23.1,3,40634,1759.047619
2,1,4,9,4712.87,407,1631427,346.1642269
2,1,5,1,779.53,55,232521,298.2835811
2,1,5,2,157.99,13,31952,202.2406481
2,1,5,3,137.19,6,50067,364.9464247
2,1,5,4,156.34,11,18221,116.5472688
2,1,5,5,149.71,15,32164,214.8420279
2,1,5,6,295.12,13,59509,201.6433993
2,1,5,7,132.79,8,55603,418.7288199
2,1,5,8,29.02,2,2802,96.55410062
2,1,5,9,5373.06,363,1597528,297.3218241
2,1,6,1,1557.98,107,435444,279.4926764
2,1,6,2,329.74,29,133272,404.1729848
2,1,6,3,320.71,13,150031,467.8089239
2,1,6,4,210.91,4,15193,72.03546536
2,1,6,5,336.02,30,194477,578.7661449
2,1,6,6,576.63,24,137963,239.2574094
2,1,6,7,269.81,9,87411,323.972425
2,1,6,8,56.96,9,144950,2544.768258
2,1,6,9,9805.53,618,2918359,297.6237898
2,1,7,1,8009.92,390,1992027,248.6949932
2,1,7,2,1407.85,67,332194,235.9583762
2,1,7,3,1538.74,49,397236,258.1566736
2,1,7,4,806,31,209824,260.3275434
2,1,7,5,1380.85,83,398103,288.3028569
2,1,7,6,2848.53,111,493340,173.1910845
2,1,7,7,1496.62,74,282000,188.4245834
2,1,7,8,267.8,14,95457,356.4488424
2,1,7,9,44511.41,2127,10315455,231.7485562
2,2,1,1,679.46,113,582788,857.7223089
2,2,1,2,98.43,22,91135,925.8864167
2,2,1,3,60.48,11,90425,1495.122354
2,2,1,4,434.05,45,153794,354.3232347
2,2,1,5,211.77,34,255298,1205.54375
2,2,1,6,516.01,51,253258,490.8005659
2,2,1,7,118.76,16,69025,581.2142135
2,2,1,8,25.01,5,7797,311.7552979
2,2,1,9,7185.14,1157,5121951,712.8533334
2,2,2,1,638.08,83,350944,550
2,2,2,2,117.12,19,141774,1210.502049
2,2,2,3,52.69,11,58588,1111.937749
2,2,2,4,408.69,22,136288,333.4752502
2,2,2,5,168.09,33,150740,896.7814861
2,2,2,6,523.36,22,100822,192.6436869
2,2,2,7,141.28,15,57916,409.9377123
2,2,2,8,25.84,5,42167,1631.849845
2,2,2,9,6506.72,559,2457197,377.6398861
2,2,3,1,687.29,60,382872,557.0748883
2,2,3,2,111.63,11,55353,495.8613276
2,2,3,3,68.91,5,7480,108.5473806
2,2,3,4,294.06,14,88500,300.958988
2,2,3,5,154.39,20,42607,275.9699462
2,2,3,6,446.83,25,116227,260.114585
2,2,3,7,139.62,9,18627,133.4121186
2,2,3,8,28.91,2,4521,156.3818748
2,2,3,9,5783.55,453,1907609,329.8335797
2,2,4,1,661.35,50,257851,389.8858396
2,2,4,2,139.58,15,29492,211.2910159
2,2,4,3,67.99,3,4835,71.11339903
2,2,4,4,198.46,6,11144,56.15237327
2,2,4,5,151.85,10,18943,124.7481067
2,2,4,6,390.18,15,37755,96.76303245
2,2,4,7,120.11,9,55231,459.8368163
2,2,4,8,33.1,1,1878,56.73716012
2,2,4,9,5316.84,344,1682243,316.3990265
2,2,5,1,848.62,70,265184,312.4885108
2,2,5,2,204.12,19,116076,568.6654909
2,2,5,3,129.16,6,20054,155.2647879
2,2,5,4,149.52,7,40010,267.5896201
2,2,5,5,214.27,14,21497,100.3266906
2,2,5,6,431.35,18,89520,207.5344848
2,2,5,7,176.7,10,25944,146.8251273
2,2,5,8,50.75,3,10388,204.6896552
2,2,5,9,6273.26,344,1437097,229.0829648
2,2,6,1,1741.3,99,502889,288.8008959
2,2,6,2,358.55,22,108381,302.2758332
2,2,6,3,286.92,14,49960,174.1251917
2,2,6,4,192.9,7,11847,61.41524106
2,2,6,5,398.56,21,135284,339.431955
2,2,6,6,710.28,32,75776,106.6846877
2,2,6,7,356.8,12,25779,72.25056054
2,2,6,8,103.3,9,27406,265.3049371
2,2,6,9,11001.9,622,3029300,275.3433498
2,2,7,1,9358.84,359,2466406,263.5375752
2,2,7,2,2021.95,107,520377,257.3639309
2,2,7,3,1795.27,53,328548,183.0075699
2,2,7,4,859.65,23,95241,110.790438
2,2,7,5,1856.01,77,323882,174.5044477
2,2,7,6,3817.88,96,503384,131.849089
2,2,7,7,2125.92,91,463818,218.1728381
2,2,7,8,407.26,10,89166,218.9412169
2,2,7,9,54421.4,2087,9950131,182.8348958
2,3,1,1,703.88,120,547349,777.6169233
2,3,1,2,88.45,10,20304,229.55342
2,3,1,3,39.68,3,5422,136.6431452
2,3,1,4,461.44,33,121470,263.2411581
2,3,1,5,209.99,53,234736,1117.843707
2,3,1,6,633.85,52,241224,380.5695354
2,3,1,7,142,14,68256,480.6760563
2,3,1,8,23.45,2,8396,358.0383795
2,3,1,9,7304.73,1003,4387841,600.6848987
2,3,2,1,700.59,74,286946,409.5776417
2,3,2,2,96.84,7,20675,213.4964891
2,3,2,3,44.37,1,31442,708.6319585
2,3,2,4,422.88,17,14982,35.42849035
2,3,2,5,177.47,27,154791,872.2093875
2,3,2,6,669.34,42,114629,171.2567604
2,3,2,7,151.12,17,36169,239.3395977
2,3,2,8,27.39,1,31442,1147.937203
2,3,2,9,6988.9,556,2634269,376.9218332
2,3,3,1,724.49,49,189534,261.6102362
2,3,3,2,121.33,9,32584,268.5568285
2,3,3,3,55.59,0,0,0
2,3,3,4,275.9,7,40454,146.625589
2,3,3,5,162.92,17,33909,208.1328259
2,3,3,6,576.1,21,55806,96.8685992
2,3,3,7,140.05,13,76834,548.6183506
2,3,3,8,36.78,0,0,0
2,3,3,9,6034.63,404,2107152,349.1766687
2,3,4,1,679.01,38,197187,290.4036759
2,3,4,2,119.96,13,62674,522.4574858
2,3,4,3,69.04,2,2597,37.61587486
2,3,4,4,173.48,11,46956,270.6709707
2,3,4,5,155.48,8,45486,292.5520967
2,3,4,6,468.53,19,75634,161.428297
2,3,4,7,147.89,9,84248,569.6666441
2,3,4,8,41.4,4,35685,861.9565217
2,3,4,9,5496.81,323,1473149,268.0007131
2,3,5,1,946.01,50,199324,210.6996755
2,3,5,2,172.42,12,27067,156.9829486
2,3,5,3,104.52,4,34911,334.0126292
2,3,5,4,188.53,4,33175,175.9666897
2,3,5,5,209.61,9,81779,390.1483708
2,3,5,6,515.69,17,77953,151.1625201
2,3,5,7,189.16,10,21942,115.9970395
2,3,5,8,55.8,6,23456,420.3584229
2,3,5,9,6442.14,324,1506141,233.7951364
2,3,6,1,1702.76,86,491502,288.6501915
2,3,6,2,332.17,10,21654,65.18951139
2,3,6,3,306.21,11,72861,237.9445479
